"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"7DJK8W4T","journalArticle","2014","Remue, Jonathan; Hughes, Sean; De Houwer, Jan; De Raedt, Rudi","To be or want to be: Disentangling the role of actual versus ideal self in implicit self-esteem","PLoS ONE","","1932-6203","10.1371/journal.pone.0108837","http://dx.plos.org/10.1371/journal.pone.0108837","","2014-09-30","2014-12-02 22:43:25","2023-01-10 19:06:30","2014-12-02 22:43:25","e108837","","9","9","","","To Be or Want to Be","","","","","","","en","","","","","CrossRef","","","","/Users/Ian/Zotero Data/storage/GT5JUQ76/Remue et al. - 2014 - To Be or Want to Be Disentangling the Role of Act.pdf","","","","Dymond, Simon","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"72LX2MUL","journalArticle","2018","Drake, Chad E.; Primeaux, Sunni; Thomas, Jorden","Comparing implicit gender stereotypes between women and men with the Implicit Relational Assessment Procedure","Gender Issues","","1098-092X, 1936-4717","10.1007/s12147-017-9189-6","https://link.springer.com/article/10.1007/s12147-017-9189-6","Gender is a pervasive social categorization bearing substantial impact on personal and social behavior throughout the lifespan. In some ways this categorization may perpetuate stereotypes and discrimination, such as women and men being viewed as suited for different educational and career pathways and family responsibilities. Much of the empirical literature and the gender theories that have been built from that literature are founded on self-report measures of gender perceptions. Self-reports of cognitive phenomena are vulnerable to social demand effects, a concern that has occasioned a comparatively small body of gender perception research with implicit measures. The current study explored implicit gender stereotypes among and between women and men with the Implicit Relational Assessment Procedure, which can provide more specific assessments of biased attitudes than many comparable implicit measures. The results confirmed some previous findings, revealing stereotype-consistent attitudes and gender differences in the magnitude of those attitudes. Both of the genders measured provided response patterns indicating perceptions of women as emotional, gentle, and sensitive and of men as dominant, forceful, and logical. More specific and nuanced effects were also revealed, including a number of seemingly egalitarian effects and one stereotype-inconsistent bias for women when responding to the combination of women and the words dominant, forceful, and logical. These latter findings would be inaccessible with alternative implicit measures. These results may provide a foundation for a broader and deeper program of future research on the personal and social impact of gender stereotypes.","2018-03-01","2018-03-09 22:09:17","2023-01-10 18:57:56","2018-03-09 22:09:17","3-20","","1","35","","Gend. Issues","","","","","","","","en","","","","","link-springer-com.jproxy.nuim.ie","","","","/Users/Ian/Zotero Data/storage/9FUTZ3ZG/Drake et al. - 2018 - Comparing Implicit Gender Stereotypes Between Wome.pdf; /Users/Ian/Zotero Data/storage/2QS4SJ4Y/s12147-017-9189-6.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FHJLUNCF","journalArticle","2017","Farrell, Lynn; McHugh, Louise","Examining gender-STEM bias among STEM and non-STEM students using the Implicit Relational Assessment Procedure (IRAP)","Journal of Contextual Behavioral Science","","2212-1447","10.1016/j.jcbs.2017.02.001","http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2017-19155-012&site=ehost-live","Women remain under-represented in the fields of Science, Technology, Engineering and Maths (STEM), constituting only 28% of science researchers worldwide. Research has identified implicit gender-bias as a major barrier to women's progression in these fields. Previous research using the Implicit Association Test (IAT) suggests that individuals studying or working in STEM fields exhibit different levels of implicit male-STEM bias than those in non-STEM fields. The Implicit Relational Assessment Procedure (IRAP), a non-relative measure, was compared with the IAT which allowed us to probe this difference further among STEM and non-STEM students. The IRAP revealed a more detailed and complex picture of gender-STEM bias. All groups demonstrated a significant implicit pro-male-STEM bias. However, there was also evidence of a pro-female-STEM bias, significant only among female STEM students. A number of correlations were observed between the explicit measure and the IRAP. The presence of a pro-female-STEM bias has implications for the development of interventions. If this relational response can become more normative it may influence attitudes and behavior towards women in STEM. (PsycINFO Database Record (c) 2017 APA, all rights reserved)","2017-01","2018-12-23 11:58:55","2018-12-23 11:58:55","","80-90","","1","6","","Journal of Contextual Behavioral Science","","","","","","","","","","","psyh","2017-19155-012","EBSCOhost","","","","/Users/Ian/Zotero Data/storage/KQ7ECEDW/Farrell and McHugh - 2017 - Examining gender-STEM bias among STEM and non-STEM.pdf","","Academic Specialization; Cognitive Bias; College Students; Educational Programs; Gender-STEM bias; Human Sex Differences; Implicit cognition; IRAP; STEM; Student Characteristics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R9PB6WIC","journalArticle","2016","Barbero-Rubio, Adrián; López-López, Juan C.; Luciano, Carmen; Eisenbeck, Nikolett","Perspective-taking measured by Implicit Relational Assessment Procedure (IRAP)","The Psychological Record","","0033-2933","10.1007/s40732-016-0166-3","http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2016-19908-005&site=ehost-live","The current study aimed to design a preliminary implicit relational assessment procedure (IRAP) to measure the increased complexity and the flexibility in perspective taking (PT). Undergraduate students (N = 35) from a Spanish university completed a PT scale and a PT task (deictic relational task; DRT) that involved trials with different complexity (reversed and double reversed). Then, participants were asked to complete an IRAP to assess the level of complexity and flexibility involved in perspective-taking framing. Results showed that the IRAP captured the differences, on the one hand, in relational complexity when the participants were asked to respond saying Yes or No to their own perspective and, on the other hand, in relational flexibility when they were asked to change their own perspective. In addition, the IRAP effect correlated with high deictic ability as measured by the DRT (mainly in double-reversed trials). These findings suggest that the IRAP as designed in the present study seems to be a good indicator of complexity and flexibility in PT. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","2016-06","2018-12-23 11:58:55","2018-12-23 11:58:55","","243-252","","2","66","","The Psychological Record","","","","","","","","","","","psyh","2016-19908-005","EBSCOhost","","","","/Users/Ian/Zotero Data/storage/58L39W3Z/Barbero-Rubio et al. - 2016 - Perspective-taking measured by Implicit Relational.pdf","","College Students; Deictic framing; Implicit Attitudes; IRAP; Perspective taking; Psychometrics; Quasi-experiment design; Relational frame theory (RFT); Role Taking; Test Construction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"STNU8VG3","journalArticle","2012","Bortoloti, Renato; de Rose, Julio C.","Equivalent stimuli are more strongly related after training with delayed matching than after simultaneous matching: A study using the Implicit Relational Assessment Procedure (IRAP)","The Psychological Record","","0033-2933","https://doi.org/10.1007/BF03395785","http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2012-03339-003&site=ehost-live","Bortoloti and de Rose (2009) found evidence that the level of functional transfer is higher in equivalence classes generated by delayed matching to sample (DMTS) than in classes generated by simultaneous matching (SMTS). We attempted to replicate these findings with the Implicit Relational Assessment Procedure (IRAP). Two experimental groups established two equivalence classes, each comprised of faces expressing either anger or happiness and nonsense words. The classes were established with SMTS for one group and with DMTS for the other. Then, nonsense words and the faces were respectively presented as 'attribute' and target stimuli in IRAP tasks. The DMTS group yielded the expected IRAP effect; the SMTS group yielded an IRAP effect only when the target was a happy face. It is discussed that DMTS can enhance transfer of 'semantic' functions between equivalent stimuli, supporting the idea that the relatedness of stimuli can vary as a function of experimental parameters. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","2012","2018-12-23 11:58:55","2023-01-10 18:37:56","","41-54","","1","62","","The Psychological Record","","","","","","","","","","","psyh","2012-03339-003","EBSCOhost","","","","/Users/Ian/Zotero Data/storage/X4JHIFUQ/Bortoloti and de Rose - 2012 - Equivalent stimuli are more strongly related after.PDF","","Behavior; delayed matching to sample; Experimentation; functional transfer; Implicit Relational Assessment Procedure; IRAP; Matching to Sample; Measurement; relatedness of stimuli; Stimulation; stimulus equivalence; symbolic behavior","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PJPFGZJW","journalArticle","2016","Leech, Aileen; Barnes-Holmes, Dermot; Madden, Lara","The Implicit Relational Assessment Procedure (IRAP) as a measure of spider fear, avoidance, and approach","The Psychological Record","","0033-2933","10.1007/s40732-016-0176-1","http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2016-37223-002&site=ehost-live","The current study examined the use of the Implicit Relational Assessment Procedure (IRAP) as a measure of spider fear, approach, and avoidance. Participants were drawn from a normative sample of university undergraduates. Experiment 1 employed two IRAPs, one targeting spider fear, the other targeting spider approach/avoidance. The Fear of Spiders Questionnaire (FSQ) and a Behavioral Approach Task (BAT) using a spider moult were also employed. Negative response biases for spider fear and avoidance, but not for approach, were recorded. The bias for fear was significantly stronger than for avoidance and approach. Both IRAP’s failed to provide evidence for the predicative validity of the IRAP in terms of the BAT. Experiment 2 was a partial replication of Experiment 1 but using a live house spider instead of a moult for the BAT. A similar pattern of results was obtained across the two IRAPs, but one specific trial-type (Spider-Approach) predicted approach responses on the BAT. The research, thus, replicated a previously published study by Nicholson and Barnes-Holmes (2012), thus supporting the predictive validity of the IRAP but at a level of precision not provided in the earlier study. Implications for applied research are considered. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","2016-09","2018-12-23 11:58:56","2018-12-23 11:58:56","","337-349","","3","66","","The Psychological Record","","","","","","","","","","","psyh","2016-37223-002","EBSCOhost","","","","/Users/Ian/Zotero Data/storage/BBXRUBJR/Leech et al. - 2016 - The Implicit Relational Assessment Procedure (IRAP.pdf","","Approach; Approach Behavior; Arachnida; Avoidance; Emotional Assessment; Fear; Implicit Relational Assessment Procedure; Psychometrics; Spider; Test Validity; Undergraduates","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"E5RG8PK6","journalArticle","2018","Munnelly, Anita; Farrell, Lynn; O'Connor, Martin; McHugh, Louise","Adolescents’ implicit and explicit attitudes toward cyberbullying: An exploratory study using the Implicit Relational Assessment Procedure (IRAP) and self-report measures","The Psychological Record","","0033-2933","10.1007/s40732-017-0261-0","http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2017-48358-001&site=ehost-live","The current study reports the findings of an experiment in which adolescents’ explicit and implicit attitudes toward cyberbullying were explored. Participants first completed an explicit measure of their attitudes toward cyberbullying, followed by an implicit measure in the form of the Implicit Relational Assessment Procedure (IRAP). Results revealed that participants displayed a combination of anti- and pro-cyberbullying attitudes. There was no statistically significant correlation between participants’ implicit and explicit attitudes toward cyberbullying. The current findings may have important implications for our understanding of adolescents’ attitudes toward cyberbullying and the development of relevant educational programs. (PsycINFO Database Record (c) 2018 APA, all rights reserved)","2018-03","2018-12-23 11:58:56","2018-12-23 11:58:56","","1-10","","1","68","","The Psychological Record","","","","","","","","","","","psyh","2017-48358-001","EBSCOhost","","","","/Users/Ian/Zotero Data/storage/VPAJXY98/Munnelly et al. - 2018 - Adolescents’ implicit and explicit attitudes towar.pdf","","Adolescent Attitudes; Adolescents; Cyberbullying; explicit attitudes; Explicit Attitudes; Implicit attitudes; Implicit Attitudes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LVHBUBAF","journalArticle","2015","Bast, Diana Ferroni; Barnes-Holmes, Yvonne; Barnes-Holmes, Dermot","Developing an individualized Implicit Relational Assessment Procedure (IRAP) as a potential measure of self-forgiveness related to negative and positive behavior","The Psychological Record","","0033-2933","10.1007/s40732-015-0141-4","http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2016-16811-011&site=ehost-live","Purpose: This study aimed to test the Implicit Relational Assessment Procedure (IRAP) as a measure of self-forgiveness response biases related to emotional reactions and expected outcomes in everyday life. Unlike previous IRAPs, the stimuli were individualized in that they were based on 'problematic' and 'non-problematic' behaviors (e.g., procrastination vs. keeping deadlines) that each participant reported at the beginning of the study. Method: Specifically, participants completed two IRAPs. One (the Feelings IRAP) targeted negative and positive feelings experienced while engaging in problematic versus nonproblematic behavior. The other (the Outcomes IRAP) targeted positive and negative outcomes believed to result from this behavior. Participants also completed standardized measures of psychological suffering and self-compassion as well as a questionnaire that targeted the behavior and reactions presented in the IRAPs. Results: While both IRAPs produced response biases that indicated that positive feelings and outcomes were related to nonproblematic behavior, neither produced clear evidence that negative feelings or outcomes were related to problematic behavior. Furthermore, specific response biases on the IRAP (i.e., a tendency to confirm that negative actions lead to negative outcomes) correlated with psychological suffering, particularly depression and stress. Conclusion: The findings suggest that individualized IRAPs, even those that target minor problematic behavior, may be predictive of psychological suffering. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","2015-12","2018-12-23 11:58:56","2018-12-23 11:58:56","","717-730","","4","65","","The Psychological Record","","","","","","","","","","","psyh","2016-16811-011","EBSCOhost","","","","/Users/Ian/Zotero Data/storage/L28R95PH/Bast et al. - 2015 - Developing an Individualized Implicit Relational A.pdf","","Forgiveness; Implicit measure; Individualized IRAP; Negative and positive behaviors; Negative Emotions; Personality Measures; Positive Emotions; Psychometrics; Self-forgiveness; Test Construction; Test Reliability; Test Validity","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MYQFHAT3","journalArticle","2016","O'Shea, Brian; Watson, Derrick G.; Brown, Gordon D. A.","Measuring implicit attitudes: A positive framing bias flaw in the Implicit Relational Assessment Procedure (IRAP)","Psychological Assessment","","1040-3590","10.1037/pas0000172","http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2015-26619-001&site=ehost-live","How can implicit attitudes best be measured? The Implicit Relational Assessment Procedure (IRAP), unlike the Implicit Association Test (IAT), claims to measure absolute, not just relative, implicit attitudes. In the IRAP, participants make congruent (Fat Person-Active: false; Fat Person-Unhealthy: true) or incongruent (Fat Person-Active: true; Fat Person-Unhealthy: false) responses in different blocks of trials. IRAP experiments have reported positive or neutral implicit attitudes (e.g., neutral attitudes toward fat people) in cases in which negative attitudes are normally found on explicit or other implicit measures. It was hypothesized that these results might reflect a positive framing bias (PFB) that occurs when participants complete the IRAP. Implicit attitudes toward categories with varying prior associations (nonwords, social systems, flowers and insects, thin and fat people) were measured. Three conditions (standard, positive framing, and negative framing) were used to measure whether framing influenced estimates of implicit attitudes. It was found that IRAP scores were influenced by how the task was framed to the participants, that the framing effect was modulated by the strength of prior stimulus associations, and that a default PFB led to an overestimation of positive implicit attitudes when measured by the IRAP. Overall, the findings question the validity of the IRAP as a tool for the measurement of absolute implicit attitudes. A new tool (Simple Implicit Procedure:SIP) for measuring absolute, not just relative, implicit attitudes is proposed. (PsycINFO Database Record (c) 2017 APA, all rights reserved)","2016-02","2018-12-23 11:58:56","2018-12-23 11:58:56","","158-170","","2","28","","Psychological Assessment","","","","","","","","","","","psyh","2015-26619-001","EBSCOhost","","","","/Users/Ian/Zotero Data/storage/PZWT7I7X/O'Shea et al. - 2016 - Measuring implicit attitudes A positive framing b.pdf","","Attitude; Attitude Measurement; Bias (Epidemiology); Female; Framing Effects; Humans; implicit attitudes; Implicit Attitudes; Implicit Relational Assessment Procedure; Language; Male; positive framing bias; Psychometrics; simple implicit procedure; Stigma; Young Adult","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JMZVJLXL","journalArticle","2015","Bast, Diana Ferroni; Barnes-Holmes, Dermot","Developing the Implicit Relational Assessment Procedure (IRAP) as a measure of self-forgiveness related to failing and succeeding behaviors","The Psychological Record","","0033-2933","10.1007/s40732-014-0100-5","http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2016-16808-017&site=ehost-live","This study aimed to develop the Implicit Relational Assessment Procedure (IRAP) as a measure of response biases related to emotional reactions and expected outcomes in the context of minor failings and successes in everyday life. Additionally, the research explored the extent to which such implicit reactions were related to standardized measures of psychopathology, including depression, anxiety, stress, and a scale that was based directly on the IRAP. Sixty undergraduates completed two IRAPs and the explicit measures. The pattern of biases observed across the implicit and explicit measures diverged, and the correlations between the two types of measures were either absent or relatively weak. The results suggest that implicit measures may provide an additional source of information concerning self-forgiveness beyond that provided by explicit self-report measures per se. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","2015-03","2018-12-23 11:58:57","2018-12-23 11:58:57","","189-201","","1","65","","The Psychological Record","","","","","","","","","","","psyh","2016-16808-017","EBSCOhost","","","","/Users/Ian/Zotero Data/storage/E7HRYSW6/Bast and Barnes-Holmes - 2015 - Developing the Implicit Relational Assessment Proc.pdf","","Achievement; Behavior Analysis; Emotional Responses; Failure; Failures; Feelings and outcomes; Forgiveness; Implicit measure; IRAP; Personality Measures; Response Bias; Self-forgiveness; Success; Test Construction; Test Reliability","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
